Requested Rect. Yield,Date Completed,Work Center
92.7,1/5/2015,FINNSG2
2.74,1/5/2015,Amada Vipros 3 - Cell #2
87.62,1/5/2015,Salvagnini laser
88.3,1/5/2015,FINNSG2
87.7,1/5/2015,FINNSG1
87.1,1/5/2015,FINNSG3
90.4,1/5/2015,FINNSG4
43.5,1/5/2015,Amada Vipros 1 - Cell #1
82.9,1/5/2015,FINNSG2
4.32,1/5/2015,Amada Vipros 3 - Cell #2
87.9,1/5/2015,FINNSG1
87.7,1/5/2015,FINNSG5
89,1/5/2015,FINNSG3
87.6,1/5/2015,FINNSG2
9.98,1/5/2015,Amada Pulsar Laser  - Cell #1
88.3,1/5/2015,FINNSG5
5.12,1/5/2015,Amada Vipros 3 - Cell #2
93.1,1/5/2015,FINNSG3
8.16,1/5/2015,Amada Vipros 1 - Cell #1
85.6,1/5/2015,FINNSG2
73.22,1/5/2015,Salvagnini laser
86.7,1/5/2015,FINNSG4
89.5,1/5/2015,FINNSG5
79.44,1/5/2015,Amada FMS #2
68.49,1/5/2015,Amada FMS #2
79.5,1/5/2015,FINNSG2
70.83,1/5/2015,Amada Vipros 5 - Cell #3
0.14,1/5/2015,Amada Pulsar Laser  - Cell #1
88,1/5/2015,FINNSG4
85.7,1/5/2015,FINNSG2
25.68,1/5/2015,Salvagnini laser
92.6,1/5/2015,FINNSG3
75.9,1/5/2015,FINNSG1
80.77,1/5/2015,Amada Vipros 3 - Cell #2
80.6,1/5/2015,FINNSG2
88.5,1/5/2015,FINNSG3
62.1,1/5/2015,Amada Vipros 1 - Cell #1
89.3,1/5/2015,FINNSG4
4.4,1/5/2015,Amada Pulsar Laser  - Cell #1
80.09,1/5/2015,Amada FMS #2
11.65,1/5/2015,Amada FMS #2
92.3,1/5/2015,FINNSG1
87.7,1/5/2015,FINNSG3
86.7,1/5/2015,FINNSG2
90.8,1/5/2015,FINNSG1
64.13,1/5/2015,Amada Vipros 3 - Cell #2
88.9,1/5/2015,FINNSG4
93.1,1/5/2015,FINNSG3
77.6,1/5/2015,FINNSG5
39.49,1/5/2015,Amada Vipros 1 - Cell #1
84.1,1/5/2015,FINNSG2
16.27,1/5/2015,Amada Vipros 1 - Cell #1
92.3,1/5/2015,FINNSG3
92.3,1/5/2015,FINNSG1
79.6,1/5/2015,FINNSG2
86.5,1/5/2015,FINNSG4
73.64,1/5/2015,Amada FMS #2
75.93,1/5/2015,Amada FMS #2
92.6,1/5/2015,FINNSG3
67.1,1/5/2015,FINNSG5
81.1,1/5/2015,FINNSG2
13.34,1/5/2015,Amada Vipros 1 - Cell #1
86.4,1/5/2015,FINNSG1
91.8,1/5/2015,FINNSG2
92.6,1/5/2015,FINNSG3
88.4,1/5/2015,FINNSG4
53.8,1/5/2015,FINNSG5
82.8,1/5/2015,FINNSG2
67.61,1/5/2015,Amada Vipros 3 - Cell #2
12.7,1/5/2015,FINNSG5
82.2,1/5/2015,FINNSG2
85.9,1/5/2015,FINNSG1
77.6,1/5/2015,FINNSG2
85.6,1/5/2015,FINNSG1
165.87,1/5/2015,Amada Pulsar Laser  - Cell #1
71.45,1/5/2015,Amada FMS #2
73.81,1/5/2015,Amada FMS #2
0.38,1/5/2015,Amada Pulsar Laser  - Cell #1
83.8,1/5/2015,FINNSG1
75.64,1/5/2015,Amada Vipros 3 - Cell #2
70.3,1/5/2015,FINNSG2
92.5,1/5/2015,FINNSG3
40.01,1/5/2015,Amada Vipros 1 - Cell #1
91.2,1/5/2015,FINNSG3
85.4,1/5/2015,FINNSG1
71.9,1/5/2015,FINNSG2
29.8,1/5/2015,FINNSG5
1.89,1/5/2015,Amada Pulsar Laser  - Cell #1
82.26,1/5/2015,Amada Vipros 3 - Cell #2
46.61,1/5/2015,Amada Vipros 1 - Cell #1
91.1,1/5/2015,FINNSG3
121.14,1/5/2015,Salvagnini laser
70.83,1/5/2015,Amada Vipros 5 - Cell #3
93.3,1/5/2015,FINNSG2
89.7,1/5/2015,FINNSG3
1.89,1/5/2015,Amada Pulsar Laser  - Cell #1
90.5,1/5/2015,FINNSG3
88.1,1/5/2015,FINNSG1
89.3,1/5/2015,FINNSG5
85.4,1/5/2015,FINNSG4
82.55,1/5/2015,Amada Vipros 3 - Cell #2
67.11,1/5/2015,Amada FMS #2
59.54,1/5/2015,Amada FMS #2
85.6,1/5/2015,FINNSG1
90.5,1/5/2015,FINNSG5
91.4,1/5/2015,FINNSG3
91.1,1/5/2015,FINNSG5
89.4,1/5/2015,FINNSG1
46.21,1/5/2015,Amada Vipros 3 - Cell #2
90.7,1/5/2015,FINNSG3
89.4,1/5/2015,FINNSG5
59.94,1/5/2015,Amada Vipros 1 - Cell #1
32.94,1/5/2015,Amada Pulsar Laser  - Cell #1
90.8,1/5/2015,FINNSG2
75.39,1/5/2015,Salvagnini laser
91.7,1/5/2015,FINNSG2
88.1,1/5/2015,FINNSG1
84.6,1/5/2015,FINNSG4
92.8,1/5/2015,FINNSG3
87.3,1/5/2015,FINNSG5
71.83,1/5/2015,Amada FMS #2
50.12,1/5/2015,Amada FMS #2
33.89,1/5/2015,Amada Pulsar Laser  - Cell #1
52.7,1/5/2015,Amada Vipros 5 - Cell #3
91.2,1/5/2015,FINNSG3
91.4,1/5/2015,FINNSG2
69.82,1/5/2015,Amada Vipros 3 - Cell #2
93,1/5/2015,FINNSG2
87.1,1/5/2015,FINNSG4
82.7,1/5/2015,FINNSG1
91.7,1/5/2015,FINNSG3
91.1,1/5/2015,FINNSG2
59.77,1/5/2015,Amada FMS #2
56,1/5/2015,Amada FMS #2
86.4,1/5/2015,FINNSG5
89,1/5/2015,FINNSG3
60.89,1/5/2015,Amada Vipros 1 - Cell #1
83.2,1/5/2015,FINNSG1
87.5,1/5/2015,FINNSG3
93.7,1/5/2015,FINNSG2
56.55,1/5/2015,Amada Vipros 3 - Cell #2
50.7,1/5/2015,Amada Pulsar Laser  - Cell #1
91.2,1/5/2015,FINNSG1
93.2,1/5/2015,FINNSG3
89.4,1/5/2015,FINNSG5
45.29,1/5/2015,Amada FMS #2
38.59,1/5/2015,Amada FMS #2
89.6,1/5/2015,FINNSG3
87.4,1/5/2015,FINNSG5
92.7,1/5/2015,FINNSG2
57.57,1/5/2015,Amada Vipros 1 - Cell #1
21.26,1/5/2015,Amada Vipros 3 - Cell #2
86.2,1/5/2015,FINNSG1
91.2,1/5/2015,FINNSG3
91.8,1/5/2015,FINNSG2
89.64,1/5/2015,Salvagnini laser
21.69,1/5/2015,Amada Vipros 3 - Cell #2
61.92,1/5/2015,Amada FMS #2
83.89,1/5/2015,Amada FMS #2
12.7,1/5/2015,Amada Pulsar Laser  - Cell #1
89.7,1/5/2015,FINNSG2
86.9,1/5/2015,FINNSG3
83.1,1/5/2015,FINNSG1
22.95,1/5/2015,Amada Vipros 1 - Cell #1
87.9,1/5/2015,FINNSG4
64.75,1/5/2015,Amada FMS #1
83.6,1/5/2015,FINNSG5
64.78,1/5/2015,Amada FMS #2
12.32,1/5/2015,Amada Pulsar Laser  - Cell #1
88.7,1/5/2015,FINNSG3
6.71,1/5/2015,Amada Pulsar Laser  - Cell #1
87.7,1/5/2015,FINNSG2
91.1,1/5/2015,FINNSG4
1.65,1/5/2015,Amada Pulsar Laser  - Cell #1
30.58,1/5/2015,Amada Pulsar Laser  - Cell #1
89.7,1/5/2015,FINNSG3
71.14,1/5/2015,Amada Vipros 3 - Cell #2
90.5,1/5/2015,FINNSG2
84.4,1/5/2015,FINNSG1
75.75,1/5/2015,Salvagnini laser
45.89,1/5/2015,Amada Vipros 1 - Cell #1
87.7,1/5/2015,FINNSG3
88.7,1/5/2015,FINNSG2
87.8,1/5/2015,FINNSG4
85.4,1/5/2015,FINNSG3
75.5,1/5/2015,FINNSG5
87.8,1/5/2015,FINNSG4
91.2,1/5/2015,FINNSG2
80.25,1/5/2015,Amada Vipros 3 - Cell #2
12.94,1/5/2015,Amada Pulsar Laser  - Cell #1
65.73,1/5/2015,Amada FMS #2
26.68,1/5/2015,Amada Vipros 1 - Cell #1
89.9,1/5/2015,FINNSG4
66.9,1/5/2015,FINNSG5
91,1/5/2015,FINNSG3
81.5,1/5/2015,FINNSG2
103.7,1/5/2015,Salvagnini laser
89.2,1/5/2015,FINNSG3
79.79,1/5/2015,Amada FMS #2
65.3,1/5/2015,Amada FMS #2
90.7,1/5/2015,FINNSG3
63.46,1/5/2015,Amada FMS #2
115.79,1/5/2015,Salvagnini laser
85.6,1/5/2015,FINNSG5
91.6,1/5/2015,FINNSG4
85.8,1/5/2015,FINNSG3
73.2,1/5/2015,Amada Vipros 1 - Cell #1
74.4,1/5/2015,FINNSG2
11.5,1/5/2015,Amada Pulsar Laser  - Cell #1
52.51,1/5/2015,Amada FMS #2
62.98,1/5/2015,Amada Vipros 3 - Cell #2
85,1/6/2015,FINNSG4
91.8,1/6/2015,FINNSG1
83.6,1/6/2015,FINNSG5
72.45,1/6/2015,Amada FMS #1
76.78,1/6/2015,Amada FMS #1
75.95,1/6/2015,Amada FMS #1
69.28,1/6/2015,Amada Vipros 5 - Cell #3
61.25,1/6/2015,Amada FMS #2
54.29,1/6/2015,Amada FMS #2
76.01,1/6/2015,Amada Pulsar Laser  - Cell #1
90,1/6/2015,FINNSG3
53.92,1/6/2015,Amada FMS #2
63.81,1/6/2015,Amada Vipros 5 - Cell #3
91,1/6/2015,FINNSG4
61.35,1/6/2015,Amada Vipros 3 - Cell #2
